column_name,data_type,character_maximum_length
ID_CUST,char,6
SEQ_SHIPTO,numeric,NULL
CONCAT_ORD_REL,varchar,10
SEQ_LINE_ORD,numeric,NULL
TYPE_REC_CP_HIST,numeric,NULL
SEQ_REC,numeric,NULL
CODE_COMMENT,numeric,NULL
SEQ_COMMENT,numeric,NULL
ID_ITEM,varchar,30
DATE_INVC_NEG,numeric,NULL
ID_ORD,numeric,NULL
ID_REL_ORD,numeric,NULL
ID_SHIP,numeric,NULL
VER_BO,numeric,NULL
DATE_INVC,datetime,NULL
ID_REV,numeric,NULL
NAME_CUST_SOLDTO,varchar,30
ID_CUST_BILLTO,char,6
ID_PO_CUST,varchar,25
ID_QUOTE,varchar,9
ID_JOB,varchar,9
TYPE_ORD_CP,numeric,NULL
CITY,varchar,15
ID_ST,char,2
ZIP,varchar,10
PROV,varchar,30
COUNTRY,varchar,30
ID_TERR,char,3
ID_SLSREP_1,char,3
ID_SLSREP_2,char,3
ID_SLSREP_3,char,3
PCT_SPLIT_COMMSN_1,numeric,NULL
PCT_SPLIT_COMMSN_2,numeric,NULL
PCT_SPLIT_COMMSN_3,numeric,NULL
PCT_DISC_ORD_1,numeric,NULL
PCT_DISC_ORD_2,numeric,NULL
PCT_DISC_ORD_3,numeric,NULL
DATE_ORD,datetime,NULL
DATE_USER,datetime,NULL
CODE_USER,varchar,8
CODE_CUST_1,char,2
CODE_CUST_2,char,2
CODE_CUST_3,char,2
ID_INVC,numeric,NULL
CODE_SHIP_VIA_CP,numeric,NULL
CODE_TRMS_CP,char,2
CODE_COL_PPD,numeric,NULL
CODE_FOB_CP,numeric,NULL
CODE_AUTH_TAX_1,char,3
CODE_AUTH_TAX_2,char,3
CODE_AUTH_TAX_3,char,3
CODE_AUTH_TAX_4,char,3
CODE_EXMT_TAX_1,char,2
CODE_EXMT_TAX_2,char,2
CODE_EXMT_TAX_3,char,2
CODE_EXMT_TAX_4,char,2
TAX_AUTH_1,numeric,NULL
TAX_AUTH_2,numeric,NULL
TAX_AUTH_3,numeric,NULL
TAX_AUTH_4,numeric,NULL
AMT_INVC,numeric,NULL
AMT_INVC_TAXBL,numeric,NULL
AMT_INVC_FC,varchar,14
AMT_INVC_TAXBL_FC,varchar,14
AMT_CHRG_MISC,numeric,NULL
AMT_CHRG_MISC_FC,varchar,14
AMT_FRT,numeric,NULL
AMT_FRT_FC,varchar,14
TAX_SLS,numeric,NULL
TAX_SLS_FC,varchar,14
AMT_INVC_VAT,numeric,NULL
AMT_INVC_VAT_FC,varchar,14
COST_TOTAL,numeric,NULL
RATE_EXCHG_CRNCY,numeric,NULL
SEQ_REV_QUOTE,numeric,NULL
AMT_FEE_RESTOCK,numeric,NULL
AMT_FEE_RESTOCK_FC,varchar,14
ID_EXMT_TAX,varchar,15
rowid,int,NULL
rowversion,timestamp,NULL
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
TIME_ADD,numeric,NULL
FLAG_PAID_BY_CC,numeric,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
