column_name,data_type,character_maximum_length
ID_CUST,char,6
SEQ_SHIPTO,numeric,NULL
CONCAT_ORD_REL,varchar,10
SEQ_LINE_ORD,numeric,NULL
TYPE_REC_CP_HIST,numeric,NULL
SEQ_REC,numeric,NULL
CODE_COMMENT,numeric,NULL
SEQ_COMMENT,numeric,NULL
ID_ITEM,varchar,30
DATE_INVC_NEG,numeric,NULL
ID_ORD,numeric,NULL
ID_REL_ORD,numeric,NULL
ID_SHIP,numeric,NULL
VER_BO,numeric,NULL
ID_LOC,char,5
ID_LOT,varchar,20
DESCR_1,varchar,30
DESCR_2,varchar,30
CODE_UM_PRICE,char,2
CODE_CAT_PRDT,char,2
CODE_USER_1_IM,char,2
CODE_USER_2_IM,char,4
WGT_ITEM,numeric,NULL
QTY_CARTON,numeric,NULL
FLAG_TAX_SHIP,numeric,NULL
QTY_OPEN,numeric,NULL
QTY_BO,numeric,NULL
QTY_SHIP,numeric,NULL
SLS,numeric,NULL
SLS_FC,varchar,14
COST,numeric,NULL
PRICE_LIST,numeric,NULL
PRICE_LIST_FC,varchar,14
PREC_PRICE,numeric,NULL
FLAG_MTHD_PRICE,char,1
DATE_RQST,datetime,NULL
DATE_PROM,datetime,NULL
DATE_BOOK_LAST,datetime,NULL
DATE_TRX,datetime,NULL
FLAG_DROP_SHIP,numeric,NULL
FLAG_ACT_QTY,numeric,NULL
FLAG_ACT_PRICE,numeric,NULL
FLAG_ACT_DISC_ORD,numeric,NULL
FLAG_ACT_DISC_LINE,numeric,NULL
FLAG_ACT_MARKUP,numeric,NULL
FLAG_ACT_CANCEL_BO,numeric,NULL
FLAG_ACT_OVRSHIP,numeric,NULL
FLAG_ACT_CANCEL,numeric,NULL
FLAG_ACT_ADD,numeric,NULL
FLAG_ACT_UNUSED,numeric,NULL
DATE_POST_HIST_SUM,numeric,NULL
KEY_BIN_1,varchar,20
KEY_BIN_2,varchar,20
KEY_BIN_3,varchar,20
SEQ_LINE_ORG,numeric,NULL
ID_ITEM_PRECONFIG,varchar,30
ID_CONFIG,varchar,30
ID_QUOTE,varchar,9
SEQ_REV_QUOTE,numeric,NULL
ID_EST,varchar,9
SEQ_JOB,char,4
AMT_FEE_RESTOCK,numeric,NULL
AMT_FEE_RESTOCK_FC,varchar,14
rowid,int,NULL
rowversion,timestamp,NULL
ID_USER_ADD,char,3
TIME_ADD,numeric,NULL
SEQ_LINE_COMPANION,numeric,NULL
ID_ITEM_COMPANION_SRC,varchar,30
rowchecksum,int,NULL
keychecksum,int,NULL
