column_name,data_type,character_maximum_length
ID_CUST,char,6
SEQ_SHIPTO,numeric,NULL
TYPE_REC,numeric,NULL
NAME_SORT,varchar,15
PHONE,varchar,20
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
CODE_USER_1_AR,char,2
CODE_USER_2_AR,char,4
CODE_USER_3_AR,varchar,10
NAME_CUST,varchar,30
ADDR_CUST_1,varchar,30
ADDR_CUST_2,varchar,30
ADDR_CUST_3,varchar,30
ADDR_CUST_4,varchar,30
CITY,varchar,15
ID_ST,char,2
ZIP,varchar,10
PROV,varchar,30
COUNTRY,varchar,30
NAME_CONTACT_CUST,varchar,25
REF,varchar,10
FLAG_LITR_SEND,char,1
PHONE_FAX,varchar,20
CODE_CRNCY,numeric,NULL
ID_CUST_BILLTO,char,6
CODE_CUST,char,2
RATING_CR,char,3
CODE_STAT_CR,char,2
CODE_TRMS_CP,char,2
FLAG_MTHD_BAL,char,1
FLAG_STMT_CUST,numeric,NULL
FLAG_CHRG_FINC,numeric,NULL
PCT_CHRG_FINC,numeric,NULL
CODE_BO,numeric,NULL
CODE_COL_PPD,numeric,NULL
CODE_SEARCH_PRICE,numeric,NULL
AMT_CR_LIMIT,numeric,NULL
AMT_CR_LIMIT_FC,varchar,14
AMT_CR_MAX,numeric,NULL
AMT_CR_MAX_FC,varchar,14
AMT_ORD_OPEN_FC,varchar,14
BAL_AR,numeric,NULL
BAL_AR_FC,varchar,14
QTY_INVC_YTD,numeric,NULL
QTY_PYMT_YTD,numeric,NULL
AMT_PYMT_YTD,numeric,NULL
AMT_PYMT_YTD_FC,varchar,14
AMT_PYMT_MTD,numeric,NULL
AMT_PYMT_MTD_FC,varchar,14
QTY_DAY_OVRDUE_AVG_1,numeric,NULL
QTY_DAY_OVRDUE_AVG_2,numeric,NULL
QTY_DAY_OVRDUE_AVG_3,numeric,NULL
QTY_DAY_OVRDUE_AVG_4,numeric,NULL
QTY_DAY_OVRDUE_AVG_5,numeric,NULL
QTY_DAY_OVRDUE_AVG_6,numeric,NULL
QTY_DAY_OVRDUE_AVG_7,numeric,NULL
QTY_DAY_OVRDUE_AVG_8,numeric,NULL
QTY_DAY_OVRDUE_AVG_9,numeric,NULL
QTY_DAY_OVRDUE_AVG_10,numeric,NULL
QTY_DAY_OVRDUE_AVG_11,numeric,NULL
QTY_DAY_OVRDUE_AVG_12,numeric,NULL
AMT_AGE_1,numeric,NULL
AMT_AGE_2,numeric,NULL
AMT_AGE_3,numeric,NULL
AMT_AGE_4,numeric,NULL
AMT_AGE_5,numeric,NULL
AMT_AGE_FC_1,varchar,14
AMT_AGE_FC_2,varchar,14
AMT_AGE_FC_3,varchar,14
AMT_AGE_FC_4,varchar,14
AMT_AGE_FC_5,varchar,14
CODE_AGE,char,1
DATE_AGE,datetime,NULL
DATE_ORD_LAST,datetime,NULL
DATE_INVC_LAST,datetime,NULL
DATE_PYMT_LAST,datetime,NULL
DATE_INVC_OLD,datetime,NULL
AMT_ORD_LAST,numeric,NULL
AMT_INVC_LAST,numeric,NULL
AMT_PYMT_LAST,numeric,NULL
AMT_INVC_OLD,numeric,NULL
AMT_ORD_LAST_FC,varchar,14
AMT_INVC_LAST_FC,varchar,14
AMT_PYMT_LAST_FC,varchar,14
AMT_INVC_OLD_FC,varchar,14
ID_ORD_LAST,numeric,NULL
ID_INVC_LAST,numeric,NULL
ID_PYMT_LAST,numeric,NULL
ID_INVC_OLD,numeric,NULL
AMT_ORD_LGST,numeric,NULL
AMT_INVC_LGST,numeric,NULL
AMT_PYMT_LGST,numeric,NULL
AMT_ORD_LGST_FC,varchar,14
AMT_INVC_LGST_FC,varchar,14
AMT_PYMT_LGST_FC,varchar,14
FLAG_FAX_INVC,numeric,NULL
ID_NOTE,numeric,NULL
AMT_DSO,numeric,NULL
AMT_DDSO,numeric,NULL
AMT_AGE_FUTURE,numeric,NULL
AMT_AGE_FUTURE_FC,varchar,14
rowid,int,NULL
rowversion,timestamp,NULL
CODE_TAX_ENTITY,varchar,25
CSTM_ALPHA_30_1,varchar,30
CSTM_ALPHA_30_2,varchar,30
CSTM_ALPHA_30_3,varchar,30
CSTM_ALPHA_90_1,varchar,90
CSTM_ALPHA_90_2,varchar,90
CSTM_ALPHA_90_3,varchar,90
CSTM_DATE_1,datetime,NULL
CSTM_DATE_2,datetime,NULL
CSTM_DATE_3,datetime,NULL
CSTM_NUM_1,numeric,NULL
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
