column_name,data_type,character_maximum_length
ID_CUST,char,6
SEQ_SHIPTO,numeric,NULL
TYPE_REC,numeric,NULL
NAME_SORT,varchar,15
PHONE,varchar,20
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
CODE_USER_1_AR,char,2
CODE_USER_2_AR,char,4
CODE_USER_3_AR,varchar,10
NAME_CUST,varchar,30
ADDR_CUST_1,varchar,30
ADDR_CUST_2,varchar,30
ADDR_CUST_3,varchar,30
ADDR_CUST_4,varchar,30
CITY,varchar,15
ID_ST,char,2
ZIP,varchar,10
PROV,varchar,30
COUNTRY,varchar,30
NAME_CONTACT_CUST,varchar,25
REF,varchar,10
FLAG_LITR_SEND,char,1
PHONE_FAX,varchar,20
CODE_CRNCY,numeric,NULL
ID_EXMT_TAX,varchar,15
ID_LOC_CUST,char,5
ID_TERR,char,3
ID_SLSREP,char,3
CODE_AUTH_TAX_1,char,3
CODE_AUTH_TAX_2,char,3
CODE_AUTH_TAX_3,char,3
CODE_AUTH_TAX_4,char,3
FLAG_TAX_SHIP,numeric,NULL
CODE_SHIP_VIA_CP,numeric,NULL
COMMENT_INVC,varchar,35
SLS_YR_LAST,numeric,NULL
SLS_YR_LAST_FC,varchar,14
SLS_LAST_YR_MTD,numeric,NULL
SLS_LAST_YR_MTD_FC,varchar,14
SLS_LAST_YR_YTD,numeric,NULL
SLS_LAST_YR_YTD_FC,varchar,14
SLS_MTD,numeric,NULL
SLS_MTD_FC,varchar,14
SLS_YTD,numeric,NULL
SLS_YTD_FC,varchar,14
COST_YR_LAST,numeric,NULL
COST_YR_LAST_FC,varchar,14
COST_MTD,numeric,NULL
COST_MTD_FC,varchar,14
COST_YTD,numeric,NULL
COST_YTD_FC,varchar,14
DATE_MAIL_LAST,datetime,NULL
FLAG_PRNT_OPTION_PRICE,numeric,NULL
ID_TP_CARAS,varchar,10
ID_DEST_TP_CARAS,char,5
ID_DIV_TP_CARAS,char,5
FLAG_UPD_SHIPTO,char,1
CODE_TAX_GEO,varchar,9
ADDR_1_TAX,varchar,50
ADDR_2_TAX,varchar,50
ADDR_3_TAX,varchar,50
CITY_TAX,varchar,50
REGION_TAX,char,2
COUNTRY_TAX,varchar,50
CODE_POSTAL_TAX,varchar,11
ID_REGION,varchar,15
ID_NAICS,numeric,NULL
rowid,int,NULL
rowversion,timestamp,NULL
CODE_TAX_ENTITY,varchar,25
CSTM_ALPHA_30_1,varchar,30
CSTM_ALPHA_30_2,varchar,30
CSTM_ALPHA_30_3,varchar,30
CSTM_ALPHA_90_1,varchar,90
CSTM_ALPHA_90_2,varchar,90
CSTM_ALPHA_90_3,varchar,90
CSTM_DATE_1,datetime,NULL
CSTM_DATE_2,datetime,NULL
CSTM_DATE_3,datetime,NULL
CSTM_NUM_1,numeric,NULL
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
