Table,Current Master Field,Needed Master Field,Rename Needed?,Belongs in Open Orders?,Notes / Join comments
Customer Master,Ad_Customer,Customer_Account_Flag_Affiliated_Distributor,Yes,,
Customer Master,Electrical_Customer,Customer_Account_Flag_Electrical,Yes,,
Customer Master,Industrial_Safety_Customer,Customer_Account_Flag_Industrial_Safety,Yes,,
Customer Master,International_Customer,Customer_Account_Flag_International,Yes,,
Customer Master,Laundry_Customer,Customer_Account_Flag_Laundry,Yes,,
Customer Master,National_Customer,Customer_Account_Flag_National,Yes,,
Customer Master,Onesolution,Customer_Account_Flag_One_Solution,Yes,,
Customer Master,Other_Customer,Customer_Account_Flag_Other,Yes,,
Customer Master,Uniform_Customer,Customer_Account_Flag_Uniform,Yes,,
Customer Master,Strategic Flag,Customer_Account_Flag_Strategic,Yes,,
Customer Master,Customer_Account_Type,Customer_Account_Type,Yes,,
Customer Master,Customer_Code,Customer_Accounts_Receivable_Parent_Code,Yes,,
Customer Master,Customer_Added_Date,Customer_Added_Date,,No,
Customer Master,Shipping_Customer_City,Customer_Address_City_Ship-To,Yes,No,
Customer Master,Customer_City,Customer_Address_City_Sold-To,Yes,No,
Customer Master,Shipping_Customer_City_State_Zip,Customer_Address_City_State_Zip_Ship-To,Yes,No,
Customer Master,Customer_City_State_Zip_Label,Customer_Address_City_State_Zip_Sold-To,Yes,No,
Customer Master,Shipping_Customer_Country,Customer_Address_Country_Ship-To,Yes,No,
Customer Master,Customer_Country,Customer_Address_Country_Sold-To,Yes,No,
Customer Master,Shipping_Customer_Delivery,Customer_Address_Delivery_Notes_Ship-To,Yes,No,
Customer Master,Shipping_Customer_Name_Label,Customer_Address_Label_Ship-To,Yes,No,
Customer Master,Customer_Name_Label,Customer_Address_Label_Sold-To,Yes,No,
Customer Master,Shipping_Customer_State,Customer_Address_State_Ship-To,Yes,No,
Customer Master,Customer_State,Customer_Address_State_Sold-To,Yes,No,
Customer Master,Shipping_Customer_Street,Customer_Address_Street_Ship-To,Yes,No,
Customer Master,Customer_Street_Label,Customer_Address_Street_Sold-To,Yes,No,
Customer Master,Shipping_Customer_Zip,Customer_Address_Zip_Ship-To,Yes,No,
Customer Master,Customer_Zip,Customer_Address_Zip_Sold-To,Yes,No,
Customer Master,,Customer_Budget,,No,
Customer Master,Customer_Contact,Customer_Contact_Name,Yes,No,
Customer Master,Customer_Phone,Customer_Contact_Phone_Sold-To,,No,
Customer Master,,Customer_Contact_Ship-To,,No,
Customer Master,Customer_Credit_Status,Customer_Credit_Status,,,
Customer Master,Customer_Terms,Customer_Credit_Terms,Yes,,
Customer Master,Customer_Terms_Code,Customer_Credit_Terms_Code,Yes,,this field needs work - it is the same as the description - it needs to be just the code
Customer Master,Customer_Terms_Percentage,Customer_Terms_Percentage,,,
Customer Master,Cust_Group_Code,Customer_CustMas_Parent_Code,Yes,,
Customer Master,Cust_Group_Name,Customer_CustMas_Parent_Name,Yes,,
Customer Master,Customer_Shipto_Num,Customer_ID_Ship-To,Yes,,
Customer Master,,Customer_ID_Purchase_Order,,,
Customer Master,Customer_Id,Customer_ID_Sold-To,Yes,,
Customer Master,Customer_Billto_Id,Customer_ID_Bill-To,Yes,,
Customer Master,Customer_Market,Customer_Market,,,
Customer Master,Shipping_Customer_Name,Customer_Name_Ship-To,,,
Customer Master,Customer_Name,Customer_Name_Sold-To,Yes,,
Customer Master,Shipping_Customer_Nsa_Loc,Customer_NSA_Location_ID_Ship-From,,No,
Customer Master,Customer_Group_Code,Customer_Parent_Code,,,
Customer Master,Customer_Group_Name,Customer_Parent_Name,,,
Customer Master,Customer_Price_Type,Customer_Pricing_Tier,Yes,,
Customer Master,Customer_Record_Updated_Date,Customer_Record_Last_Updated_Date,Yes,,
Customer Master,Customer_Segment,Customer_Segment,,,
,Top 10,,,,GET RID OF PLEASE
,Top 100,,,,GET RID OF PLEASE
