"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","SAMPLE_VALUES"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","ID_ITEM","TEXT(30)","30",,,"46625",0,"10481A-06-6RG, 25806-A1-40L, 25835A-01-37, H30NK, NXJN4C3X50YSS1"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","ID_LOC","TEXT(5)","5",,,"43",0,"100, 130, 9001, 9020, 9021"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","DATE_CHG_QTY","TIMESTAMP_NTZ(9)",,"2017-10-24 00:00:00.000","2026-04-07 00:00:00.000","1414",0,"2023-12-22 00:00:00.000, 2024-02-08 00:00:00.000, 2025-02-20 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","TIME_CHG_QTY","NUMBER(6,0)",,"0","235959","73901",0,"142141, 152458, 192841, 212521, 83218"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","SEQ_REC","NUMBER(2,0)",,"0","21","22",0,"1, 17, 18, 19, 21"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","CODE_DTL","NUMBER(2,0)",,"0","68","27",0,"23, 24, 34, 48, 68"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","QTY_ONHD_PRIOR","NUMBER(8,0)",,"-88334570","82462951","696371",0,"-66564, -72438, 1572812, 38587, 431148"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","QTY_ONHD_CHG","NUMBER(8,0)",,"-88334570","53338288","25606",0,"-12485, -675792, 17360, 2057, 26973"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","CODE_CAT_PRDT","TEXT(2)","2",,,"73",0,"40, E, L, VT, Z1"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","CODE_ABC","TEXT(1)","1",,,"4",69.96,"A, B, C, M"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","ID_BUYER","TEXT(2)","2",,,"35",0.06,"BM, HT, L, SX, TF"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","CODE_COMM","TEXT(4)","4",,,"176",0.58,"DF13, DF29, F194, RM2, T080"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","MEMO","TEXT(24)","24",,,"838209",2.15,"10655305-, 308160/  645394, 709423-, 79982601-000, PO: 832448-00"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_EXT_TRX","NUMBER(10,2)",,"-29490413.00","33270192.00","287559",0,"-1223.57, -1899.94, -724.86, 291.70, 8041.95"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","ID_USER_ADD","TEXT(3)","3",,,"531",0.04,"9AM, 9PB, AT2, MG3, ZAA"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","FLAG_POST_HIST_IM","TEXT(1)","1",,,"2",0.13,"N, P"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","TYPE_REC","NUMBER(1,0)",,"0","1","2",0,"0, 1"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","KEY_BIN_1","TEXT(20)","20",,,"4951",78.53,"01-14-12-04-A*, 1-15-04-04-A, 1-15-08-03-B*, 1-16-05-01-A/B, 4-03-05-010-B"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","KEY_BIN_2","TEXT(20)","20",,,"4012",96.75,"1-12-03-01-A, 1-16-12-03-B, 1-16-13-04-B, 54""-55"", 54.5"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","KEY_BIN_3","TEXT(20)","20",,,"124330",84.59,"10308369-0032940115, 537191-U54523314, 846544 21401 891847, 846893 21325 29, F10195 F253014"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","ID_CUST","TEXT(6)","6",,,"349",97.29,"10936, 317503, 586750, 881361, D00802"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","QTY_ONHD_BIN_PRIOR","NUMBER(8,0)",,"-8328011","12783640","157652",0,"-66564, -72438, 17360, 38587, 412665"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_EXT_TRX_BIN","NUMBER(10,2)",,"0.00","0.00","1",0,"0.00"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","DATE_ACCTNG","TIMESTAMP_NTZ(9)",,"1925-01-11 00:00:00.000","2036-03-05 00:00:00.000","1801",1.12,"2019-05-25 00:00:00.000, 2019-11-06 00:00:00.000, 2023-12-22 00:00:00.000, 2025-02-20 00:00:00.000, 2025-09-24 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","FLAG_POST_IM_GL","NUMBER(1,0)",,"0","4","4",0,"0, 2, 3, 4"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","CODE_CAT_COST","TEXT(2)","2",,,"74",0,"72, 73, E, L, VT"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","CODE_TRX","NUMBER(2,0)",,"0","68","27",0,"23, 24, 34, 48, 68"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_MATL_VA_STD","NUMBER(10,4)",,"0.0000","2073.9500","6370",0,"0.0860, 0.9900, 2.1384, 240.2010, 85.3600"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_LABOR_VA_STD","NUMBER(10,4)",,"0.0000","407.0251","7255",0,"14.0490, 15.1452, 15.9773, 22.8858, 9.0160"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_VB_VA_STD","NUMBER(10,4)",,"0.0000","0.0036","2",0,"0.0000, 0.0036"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_FB_VA_STD","NUMBER(10,4)",,"0.0000","12.6800","128",0,"0.0056, 0.1372, 0.5000, 0.7900, 12.6800"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_OUTP_VA_STD","NUMBER(10,4)",,"0.0000","76.6900","29",0,"0.0012, 0.0017, 0.0018, 5.0000, 9.1700"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_MATL_ACCUM_STD","NUMBER(10,4)",,"0.0000","901.1450","42839",0,"15.9773, 162.6096, 57.4169, 61.4125, 80.6210"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_LABOR_ACCUM_STD","NUMBER(10,4)",,"0.0000","244.8054","1826",0,"18.3050, 2.9323, 3.5700, 57.5479, 87.2340"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_VB_ACCUM_STD","NUMBER(10,4)",,"0.0000","1.0368","20",0,"0.0000, 0.0432, 0.2592, 0.3131, 0.3370"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_FB_ACCUM_STD","NUMBER(10,4)",,"0.0000","61.6494","1189",0,"0.2191, 0.3491, 18.4321, 20.1963, 25.5821"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_OUTP_ACCUM_STD","NUMBER(10,4)",,"0.0000","80.6895","282",0,"0.0810, 0.0860, 0.1440, 0.2508, 73.8090"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_TOTAL_STD_QTY_1","NUMBER(10,4)",,"0.0000","2073.9500","59282",0,"27.0675, 30.4028, 37.8821, 45.0171, 557.7304"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_TOTAL_INTRFC","NUMBER(14,4)",,"-2725121484.5000","1645486184.8000","570635",0,"-349.5564, -56.3042, -847.9944, 108.4224, 45.0171"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","rowid","NUMBER(10,0)",,"5609476","13489686","4503809",0,"10513235, 10570428, 12456571, 12643135, 9378536"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","rowversion","TEXT(16)","16",,,"4503809",0,"000000009072331F, 00000000908C41FC, 0000000090971615, 0000000090A2FF32, 00000000946652B2"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_UNIT_AVG","NUMBER(10,4)",,"-22.4084","32505.0000","162626",0,"16.2965, 18.1802, 18.9696, 30.4028, 6.5950"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_UNIT_LAST","NUMBER(10,4)",,"0.0000","77300.0000","125329",0,"163.0200, 18.1802, 20.3202, 30.4028, 6.5950"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_UNIT_STD","NUMBER(10,4)",,"0.0000","2073.9500","59239",0,"27.0675, 30.4028, 37.8821, 45.0171, 557.7304"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_UNIT_CURR","NUMBER(10,4)",,"0.0000","7043.6152","119090",0,"30.4028, 37.8821, 45.0171, 70.1481, 78.1269"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_UNIT_LIFO","NUMBER(10,4)",,"0.0000","0.0000","1",0,"0.0000"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","COST_UNIT_FIFO","NUMBER(10,4)",,"0.0000","0.0000","1",0,"0.0000"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","PRICE_UNIT","NUMBER(10,4)",,"0.0000","0.0000","1",0,"0.0000"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","PRICE_UNIT_FC","TEXT(14)","14",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","rowchecksum","NUMBER(10,0)",,"-2147483395","2147481568","4501249",0,"-45378762, -521195551, -540945548, 1404484487, 434900507"
"BRONZE_DATA","TCM_BRONZE","IMHIST_Bronze","keychecksum","NUMBER(10,0)",,"-2147482790","2147482278","4454934",0,"-1684844117, -1934754566, 1248325143, 1829891098, 907983411"
