"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","SAMPLE_VALUES"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_ITEM","TEXT(30)","30",,,"167904",0,"1007-7CC1*10, I SZIP18S, NXJN4C3X50YSS1, TSG-760-11-PAR, VNT86584XL"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_LOC","TEXT(5)","5",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","TYPE_REC","NUMBER(2,0)",,"10","10","1",0,"10"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CONCAT_KEY","TEXT(16)","16",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_LOC_HOME","TEXT(5)","5",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","TYPE_LOC","TEXT(1)","1",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","DESCR_1","TEXT(30)","30",,,"35941",0.03,"2"" ORANGE REFLECTIVE, COVERALL, GR PVC,NO, DO NOT USE,SEE A04MN30I36I01, ENESPRO 20 CAL HOVER XTR ARC, HOSE"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","KEY_ALT","TEXT(15)","15",,,"19744",66.48,"685500SS, 83682X, M60TCLZ14G, PROJ 17N-524A, PROJ R50-2270A"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_CAT_COST","TEXT(2)","2",,,"22",0,"68, 72, 73, 82, 84"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_ITEM_1","TEXT(30)","30",,,"167797",0,"1007-7CC1*10, I SZIP18S, NXJN4C3X50YSS1, TSG-760-11-PAR, VNT86584XL"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_USER_ADD","TEXT(3)","3",,,"148",0,"ABF, AMR, HM2, MCF, MRM"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","DATE_ADD","TIMESTAMP_NTZ(9)",,"1993-12-14 00:00:00.000","2026-04-23 00:00:00.000","7696",0.07,"1998-12-29 00:00:00.000, 2013-01-29 00:00:00.000, 2013-07-22 00:00:00.000, 2015-01-19 00:00:00.000, 2020-03-16 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_USER_CHG","TEXT(3)","3",,,"130",30.31,"FCR, HM2, JAL, MCF, MRM"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","DATE_CHG","TIMESTAMP_NTZ(9)",,"2010-10-01 00:00:00.000","2026-04-23 00:00:00.000","3425",30.36,"2013-01-29 00:00:00.000, 2013-07-22 00:00:00.000, 2015-01-19 00:00:00.000, 2020-03-16 00:00:00.000, 2025-09-24 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","DESCR_2","TEXT(30)","30",,,"52177",13.55,"10789A-06-XXL, 25835A-01-37, 7.5""ID X 26FEET LONG,, OVERLAP IN BACK,12.5OZ GREEN, POLO POSTAL LT BLUE, SIZE 3XL"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_CAT_PRDT","TEXT(2)","2",,,"59",0,"40, DK, DX, DY, L"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_COMM","TEXT(4)","4",,,"116",0.35,"DF29, DM2, NSA, RM2, RMF"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_USER_1_IM","TEXT(2)","2",,,"740",26.16,"4U, DK, NJ, SG, WF"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_USER_2_IM","TEXT(4)","4",,,"791",47.61,"9021, 9153, 9299, 9394, 9632"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_USER_3_IM","TEXT(10)","10",,,"21",17.34,"CHK B4 TSS, ENTER TSS, ONLY DTM, REBRANDING, TSS/REBRAN"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","TYPE_COST","TEXT(2)","2",,,"48",0.19,"E, L, SX, TF, VT"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_UM_STK","TEXT(2)","2",,,"50",0,"BT, EA, GA, LN, MI"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_UM_PUR","TEXT(2)","2",,,"50",0,"CN, EA, GA, LN, MI"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_UM_PRICE","TEXT(2)","2",,,"10",86.08,"CN, EA, LI, LY, YD"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","RATIO_STK_PUR","NUMBER(8,4)",,"0.5000","9999.9999","124",0,"1550.0000, 2000.0000, 36.0000, 40.0000, 648.0000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","RATIO_STK_PRICE","NUMBER(8,4)",,"0.0000","36.0000","4",0,"0.0000, 1.0000, 12.0000, 36.0000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","FLAG_STAT_ITEM","TEXT(1)","1",,,"5",0,"A, F, M, O, P"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","FLAG_PLCY_SUM_SLS","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","FLAG_PLCY_IH","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","WGT_ITEM","NUMBER(8,2)",,"0.00","165.00","843",0,"0.60, 4.60, 5.39, 6.85, 7.73"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_LOC_PUR_MFG_DFLT_FUTURE","TEXT(5)","5",,,"5",95.17,"140, 20, 34, 50, 90"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_REL_DRAW","TEXT(20)","20",,,"16",99.7,""" DNU""  ITEM DISCONT, GARMENT, HYDRO, POSTAL, STEEL"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_REV_DRAW","TEXT(5)","5",,,"12",80.63,"DNU 3, PC, PS, pd, "
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","DATE_CHG_DRAW","TIMESTAMP_NTZ(9)",,"2020-07-03 00:00:00.000","2024-01-10 00:00:00.000","2",100,"2020-07-03 00:00:00.000, 2024-01-10 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","SIZE_DRAW","TEXT(5)","5",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_ECN","TEXT(8)","8",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_LL_BM","NUMBER(2,0)",,"0","7","8",0,"0, 1, 3, 6, 7"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_LL_MR","NUMBER(2,0)",,"0","7","8",0,"0, 1, 3, 6, 7"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_SERIAL_LAST","TEXT(20)","20",,,"16",65.99,"1, 1ST TIME, DONNA', FIRST TIIME, IRON-ON"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","ID_PRDTLINE","TEXT(15)","15",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","FLAG_PAR_MTRX","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","DESCR_REV_DRAW","TEXT(30)","30",,,"741",88.12,"Hang Tag Update, IN ZQ56-OR, PPC 22-025, costing verifed this size only, last sold 2017"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_TAX_PROD_CODE","TEXT(25)","25",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","MTHD_LOT_PO","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_LOT_PO","NUMBER(5,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","MTHD_LOT_SO","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CODE_LOT_SO","NUMBER(5,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","rowid","NUMBER(10,0)",,"1","187154","167909",0,"128740, 16023, 182191, 38587, 46970"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","rowversion","TEXT(16)","16",,,"167909",0,"0000000079494EE8, 000000007E90D8A8, 000000007E91BC1E, 0000000082DE1EB7, 00000000858D09A4"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_ALPHA_30_1","TEXT(30)","30",,,"5",95.92,"0, 1000, A, K, L"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_ALPHA_30_2","TEXT(30)","30",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_ALPHA_30_3","TEXT(30)","30",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_ALPHA_90_1","TEXT(90)","90",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_ALPHA_90_2","TEXT(90)","90",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_ALPHA_90_3","TEXT(90)","90",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_DATE_1","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_DATE_2","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_DATE_3","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_NUM_1","NUMBER(13,5)",,"0.00000","0.00000","1",0,"0.00000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_NUM_2","NUMBER(13,5)",,"0.00000","0.00000","1",0,"0.00000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_NUM_3","NUMBER(13,5)",,"0.00000","0.00000","1",0,"0.00000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_FLAG_1","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_FLAG_2","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","CSTM_FLAG_3","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","rowchecksum","NUMBER(10,0)",,"-2147453329","2147476657","167826",0,"-1032616423, -1050532155, -462035983, -576916394, 566257085"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_BASE_Bronze","keychecksum","NUMBER(10,0)",,"-2147468071","2147440741","167664",0,"-1442961835, -1761790807, 1241128084, 779071253, 985287318"
