"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","SAMPLE_VALUES"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","ID_ITEM","TEXT(30)","30",,,"167859",0,"1007-7CC1*10, I SZIP18S, NXJN4C3X50YSS1, TSG-760-11-PAR, VNT86584XL"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","ID_LOC","TEXT(5)","5",,,"44",0.04,"100, 130, 9001, 9020, 9021"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","TYPE_REC","NUMBER(2,0)",,"60","60","1",0,"60"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","CONCAT_KEY","TEXT(16)","16",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","ID_LOC_HOME","TEXT(5)","5",,,"45",0.04,"100, 130, 9001, 9020, 9021"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","TYPE_LOC","TEXT(1)","1",,,"2",0,"H, S"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","DESCR","TEXT(30)","30",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","KEY_ALT","TEXT(15)","15",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","ID_USER_ADD","TEXT(3)","3",,,"178",0,"ABF, AMR, DPT, MCF, MRM"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","DATE_ADD","TIMESTAMP_NTZ(9)",,"1993-12-14 00:00:00.000","2026-04-23 00:00:00.000","7707",0.08,"1998-12-29 00:00:00.000, 2013-01-29 00:00:00.000, 2013-07-22 00:00:00.000, 2015-01-19 00:00:00.000, 2020-03-16 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","ID_USER_CHG","TEXT(3)","3",,,"305",38.55,"AT2, DPT, HAH, MG3, MRM"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","DATE_CHG","TIMESTAMP_NTZ(9)",,"2010-10-01 00:00:00.000","2026-04-23 00:00:00.000","4202",35.72,"2013-01-29 00:00:00.000, 2013-07-22 00:00:00.000, 2015-01-19 00:00:00.000, 2020-03-16 00:00:00.000, 2023-12-22 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","BIN_PRIM","TEXT(20)","20",,,"8592",87.21,"1-59-03-06-A, 1E-R4-4, 2-3M-12-02-F, 2-4E-16-01-C, FP-1-2-B"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","FLAG_BO","TEXT(1)","1",,,"2",0,"N, Y"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","COST_LAST","NUMBER(10,4)",,"0.0000","117500.0000","42434",0,"15.8478, 25.4280, 25.5001, 44.4025, 68.2658"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","COST_AVG","NUMBER(10,4)",,"0.0000","117500.0000","45825",0,"0.0860, 0.3469, 1.8591, 15.8478, 9.0160"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","CODE_CYCLECNT","TEXT(2)","2",,,"7",99.88,"1, 4, 6, D, M"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","DATE_CNT_LAST","TIMESTAMP_NTZ(9)",,"1996-12-31 00:00:00.000","2026-04-23 00:00:00.000","3202",67.06,"2006-01-27 00:00:00.000, 2019-11-06 00:00:00.000, 2025-02-20 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","ID_BATCH_CYCLECNT","NUMBER(6,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","DATE_DUE_CYCLECNT","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","QTY_CYCLECNT_YTD","NUMBER(3,0)",,"0","123","20",0,"1, 17, 19, 24, 6"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","QTY_LEVEL_RESTK","NUMBER(8,0)",,"0","950","9",0,"100, 200, 350, 6, 950"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","QTY_UPTO_RESTK","NUMBER(8,0)",,"0","99999999","6",0,"0, 1, 300, 68, 99999999"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","QTY_BASE_LIFO","NUMBER(8,0)",,"0","17","2",0,"0, 17"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","COST_BASE_LIFO","NUMBER(10,4)",,"0.0000","105.3000","2013",0,"0.0017, 0.0399, 0.0685, 0.0810, 1.0594"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_LOC_Bronze","DATE_CHG_QTY_ONHD","TIMESTAMP_NTZ(9)",,"1993-12-22 00:00:00.000","2026-04-23 00:00:00.000","7651",43.85,"1998-12-29 00:00:00.000, 2013-01-29 00:00:00.000, 2013-07-22 00:00:00.000, 2015-01-19 00:00:00.000, 2020-03-16 00:00:00.000"
