"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","SAMPLE_VALUES"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","ID_ITEM","TEXT(30)","30",,,"131585",0,"1007-7CC1*10, 25806-A1-40L, I SZIP18S, TCG382P6635, VNT86584XL"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","ID_LOC","TEXT(5)","5",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","TYPE_REC","NUMBER(2,0)",,"40","40","1",0,"40"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","ID_LOC_HOME_2","TEXT(5)","5",,,"41",0,"100, 130, 40, 9020, 9021"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","ID_LOC_HOME","TEXT(5)","5",,,"41",0,"100, 130, 40, 9020, 9021"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","TYPE_LOC","TEXT(1)","1",,,"1",0,"H"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","DESCR","TEXT(30)","30",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","KEY_ALT","TEXT(15)","15",,,"2",96.16,"N, S"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","QTY_STK_SAFETY_MR","NUMBER(8,0)",,"0","111600","14",0,"1, 25000, 43200, 500, 7500"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","ID_USER_ADD","TEXT(3)","3",,,"224",0,"ABF, AE2, CXH, DPT, MRM"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","DATE_ADD","TIMESTAMP_NTZ(9)",,"1993-12-22 00:00:00.000","2026-04-23 00:00:00.000","7409",0.08,"1998-12-29 00:00:00.000, 2013-01-29 00:00:00.000, 2013-07-22 00:00:00.000, 2015-01-19 00:00:00.000, 2020-03-16 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","ID_USER_CHG","TEXT(3)","3",,,"66",71.92,"HM2, JAL, MCF, MRM, TEP"
