"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","SAMPLE_VALUES"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_LOC","TEXT(5)","5",,,"7",0,"10, 130, 140, 50, 90"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_SO","TEXT(9)","9",,,"38553",0,"717433, 719995, 720133, 724453, 724775"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","SUFX_SO","NUMBER(3,0)",,"0","13","14",0,"1, 11, 3, 6, 8"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_OPER","NUMBER(4,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_ITEM_COMP","TEXT(30)","30",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","TYPE_REC","NUMBER(2,0)",,"1","1","1",0,"1"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","SEQ","NUMBER(3,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_ITEM_PAR","TEXT(30)","30",,,"11008",0,"10789A-06-XXL, 25835A-01-37, H30NK, JKT-CLIFFS-XLT, NXJN4C3X50YSS1"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_LOC_1","TEXT(5)","5",,,"7",0,"10, 130, 140, 50, 90"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_LOC_2","TEXT(5)","5",,,"7",0,"10, 130, 140, 50, 90"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_DEPT","TEXT(4)","4",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_WC","TEXT(4)","4",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","KYFILLER_1","TEXT(8)","8",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","STAT_REC_OPER","TEXT(1)","1",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DATE_DUE_ORD","TIMESTAMP_NTZ(9)",,"2010-11-30 00:00:00.000","2999-01-01 00:00:00.000","340",0,"2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000, 2025-12-10 00:00:00.000, 2026-04-03 00:00:00.000, 2026-05-10 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","TIME_DUE_ORD","NUMBER(6,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","CODE_PRIOR","NUMBER(3,0)",,"500","500","1",0,"500"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DATE_START_ORD","TIMESTAMP_NTZ(9)",,"2004-01-12 00:00:00.000","2027-04-01 00:00:00.000","518",0,"2025-02-20 00:00:00.000, 2025-02-24 00:00:00.000, 2025-03-27 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","TIME_START_ORD","NUMBER(6,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","CODE_USER","TEXT(10)","10",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","TYPE_REC_1","NUMBER(2,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_ITEM_PAR_1","TEXT(30)","30",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_LOC_3","TEXT(5)","5",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","FLAG_CMPL_SO","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DATE_ORD","NUMBER(8,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","TIME_ORD","NUMBER(6,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","KYFILLER_2","TEXT(1)","1",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","STAT_REC_SO","TEXT(1)","1",,,"6",0,"A, C, E, R, U"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_USER_ADD","TEXT(3)","3",,,"52",0,"ACW, BCG, DHS, JAL, STR"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DATE_ADD","TIMESTAMP_NTZ(9)",,"2010-11-09 00:00:00.000","2026-04-23 00:00:00.000","259",0,"2025-02-20 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000, 2025-12-10 00:00:00.000, 2026-04-03 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_USER_CHG","TEXT(3)","3",,,"72",0.03,"HAH, HM2, JAL, RF1, SJ"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DATE_CHG","TIMESTAMP_NTZ(9)",,"2018-10-24 00:00:00.000","2026-04-23 00:00:00.000","268",0.03,"2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000, 2025-12-10 00:00:00.000, 2026-01-15 00:00:00.000, 2026-04-03 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","CODE_USER_1","TEXT(2)","2",,,"2",99.69,"A, R"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","CODE_USER_2","TEXT(4)","4",,,"1",12.61,"SENT"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","CODE_USER_3","TEXT(10)","10",,,"1",93.69,"FROMUPLOAD"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","ID_BUYER","TEXT(2)","2",,,"18",1.36,"AS, D, FC, FG, SX"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DATE_CHG_LAST","TIMESTAMP_NTZ(9)",,"2022-10-24 00:00:00.000","2026-04-23 00:00:00.000","200",0,"2025-09-24 00:00:00.000, 2025-12-10 00:00:00.000, 2026-01-15 00:00:00.000, 2026-03-16 00:00:00.000, 2026-04-03 00:00:00.000"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","QTY_ORD","NUMBER(8,0)",,"1","475200","427",0,"337, 492, 715, 924, 996"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","QTY_CMPL","NUMBER(8,0)",,"0","483617","558",0,"17964, 337, 488, 531, 924"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","QTY_CMPL_EDIT","NUMBER(8,0)",,"0","483617","558",0,"17964, 337, 488, 531, 924"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","QTY_CMPL_UEDT","NUMBER(8,0)",,"0","100","11",0,"1, 100, 17, 25, 50"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","CODE_UM","TEXT(2)","2",,,"6",0,"EA, IN, LI, PK, PR"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","HR_ACCUM_STD","NUMBER(8,2)",,"-250.00","44057.01","3648",0,"0.60, 10.07, 375.36, 6.85, 7.19"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","HR_ACCUM_ACTUAL","NUMBER(8,2)",,"0.00","199096.04","3024",0,"0.60, 22.72, 24.29, 6.85, 7.19"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","HR_ACCUM_ACTUAL_EDIT","NUMBER(8,2)",,"0.00","198697.43","3020",0,"0.60, 22.72, 24.29, 6.85, 7.19"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","HR_ACCUM_ACTUAL_UEDT","NUMBER(8,2)",,"0.00","398.61","310",0,"0.60, 1.73, 2.55, 4.99, 5.39"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","TYPE_ORD","TEXT(1)","1",,,"1",0,"P"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","REF_ORD","TEXT(8)","8",,,"8332",4.8,"00828318, 00831365, 00834532, 00838171, 00860158"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DESCR_ITEM_1","TEXT(30)","30",,,"2507",0.01,"DRIFIRE FR DUOSTORM JACKET -2X, ENESPRO 20 CAL HOVER XTR ARC, NECK PROTECTOR, 5.8 OZ HI-VIS, NSA FR HV DLX VEST W/ ZIP, NSA FR HV MESH VEST W/ ZIP"
"BRONZE_DATA","TCM_BRONZE","SHPORD_HDR_Bronze","DESCR_ITEM_2","TEXT(30)","30",,,"6311",7.02,"FR WORK PANT, KHAKI,36XUI, OVERLAP IN BACK,12.5OZ GREEN, POLO POSTAL LT BLUE, SIZE 3XL, SAND SM, SIZE 32X34"
