column_name,data_type,character_maximum_length
ID_ORD,numeric,NULL
ID_SHIP,numeric,NULL
ID_VHCL,varchar,12
ID_LOC,char,5
ID_BATCH_INVC,numeric,NULL
ID_INVC,numeric,NULL
DATE_ADD,datetime,NULL
TIME_ADD,numeric,NULL
ID_USER_ADD,char,3
DATE_CHG,datetime,NULL
TIME_CHG,numeric,NULL
ID_USER_CHG,char,3
WGT_SHIP_TOTAL,numeric,NULL
QTY_CUBES,numeric,NULL
QTY_CARTON,numeric,NULL
QTY_PALLETS,numeric,NULL
NAME_CARRIER,varchar,30
ID_CARRIER,varchar,12
PNT_ORG,varchar,30
FLAG_COL_PPD_FRT,numeric,NULL
ID_PRO_BOL,varchar,30
ADDR_1,varchar,30
ADDR_2,varchar,30
ADDR_3,varchar,30
ADDR_4,varchar,30
CODE_COL_PPD,numeric,NULL
DESCR_COL_PPD,varchar,15
AMT_COD,numeric,NULL
AMT_COD_FC,varchar,14
AMT_COD_FEE,numeric,NULL
AMT_COD_FEE_FC,varchar,14
SEQ_STOP_BOL,numeric,NULL
REF_CUST,varchar,30
DATE_DELIV_EARLIEST,datetime,NULL
DATE_DELIV_LATEST,datetime,NULL
FLAG_SHIP_COMP,numeric,NULL
VOL_CONT,numeric,NULL
QTY_CONT_1,numeric,NULL
WGT_CONTENT,numeric,NULL
VOL_SHIP_NET,numeric,NULL
CODE_SHIP_VIA_CP,numeric,NULL
ADDR_1_THIRD,varchar,30
ADDR_2_THIRD,varchar,30
CITY_THIRD,varchar,15
ID_ST_THIRD,char,2
COUNTRY_THIRD,varchar,30
PROV_THIRD,varchar,30
ZIP_THIRD,varchar,10
ACCT_SHIP_VIA,varchar,50
rowid,int,NULL
rowversion,timestamp,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
