column_name,data_type,character_maximum_length
ID_ORD,numeric,NULL
ID_CUST_SOLDTO,char,6
SEQ_SHIPTO,numeric,NULL
ID_PO_CUST,varchar,25
DATE_ADD,datetime,NULL
TIME_ADD,numeric,NULL
ID_USER_ADD,char,3
DATE_CHG,datetime,NULL
TIME_CHG,numeric,NULL
ID_USER_CHG,char,3
TYPE_ORD_CP,numeric,NULL
ID_CUST_BILLTO,char,6
NAME_CUST,varchar,30
NAME_CUST_SHIPTO,varchar,30
ADDR_1,varchar,30
ADDR_2,varchar,30
ADDR_3,varchar,30
ADDR_4,varchar,30
CITY,varchar,15
ID_ST,char,2
ZIP,varchar,10
PROV,varchar,30
COUNTRY,varchar,30
ID_REV,numeric,NULL
VER_BO,numeric,NULL
CODE_STAT_ORD,char,1
NAME_ORD_BY,varchar,15
ID_SLSREP_1,char,3
ID_SLSREP_2,char,3
ID_SLSREP_3,char,3
PCT_SPLIT_COMMSN_1,numeric,NULL
PCT_SPLIT_COMMSN_2,numeric,NULL
PCT_SPLIT_COMMSN_3,numeric,NULL
PCT_COMMSN,numeric,NULL
AMT_COMMSN,numeric,NULL
AMT_COMMSN_FC,varchar,14
PCT_DISC_ORD_1,numeric,NULL
PCT_DISC_ORD_2,numeric,NULL
PCT_DISC_ORD_3,numeric,NULL
ID_QUOTE,varchar,9
SEQ_REV_QUOTE,numeric,NULL
FLAG_QUOTE_ORG,char,2
ID_JOB,varchar,9
DATE_ORD,datetime,NULL
DATE_USER,datetime,NULL
DATE_ACKN_LAST,datetime,NULL
DATE_PICK_LAST,datetime,NULL
DATE_BOL_LAST,datetime,NULL
DATE_SHIP_LAST,datetime,NULL
DATE_INVC_LAST,datetime,NULL
DATE_BOOK_LAST,datetime,NULL
CODE_USER,varchar,8
CODE_CUST_1,char,2
CODE_CUST_2,char,2
CODE_CUST_3,char,2
LEVEL_INVC,numeric,NULL
CODE_SHIP_VIA_CP,numeric,NULL
DESCR_SHIP_VIA,varchar,15
CODE_TRMS_CP,char,2
DESCR_TRMS,varchar,15
PCT_DISC_TRMS,numeric,NULL
AMT_DISC,numeric,NULL
CODE_COL_PPD,numeric,NULL
DESCR_COL_PPD,varchar,15
CODE_FOB_CP,numeric,NULL
DESCR_FOB,varchar,15
CODE_AUTH_TAX_1,char,3
CODE_AUTH_TAX_2,char,3
CODE_AUTH_TAX_3,char,3
CODE_AUTH_TAX_4,char,3
CODE_EXMT_TAX_1,char,2
CODE_EXMT_TAX_2,char,2
CODE_EXMT_TAX_3,char,2
CODE_EXMT_TAX_4,char,2
AMT_ORD_TOTAL,numeric,NULL
AMT_ORD_TOTAL_FC,varchar,14
ACCT_SUBID_AR,numeric,NULL
ACCT_ID_AR,numeric,NULL
ACCT_DIV_AR,numeric,NULL
ACCT_LOC_AR,numeric,NULL
ACCT_DEPT_AR,numeric,NULL
ACCT_SUBID_CHRG_MISC,numeric,NULL
ACCT_ID_CHRG_MISC,numeric,NULL
ACCT_DIV_CHRG_MISC,numeric,NULL
ACCT_LOC_CHRG_MISC,numeric,NULL
ACCT_DEPT_CHRG_MISC,numeric,NULL
ACCT_SUBID_DEP,numeric,NULL
ACCT_ID_DEP,numeric,NULL
ACCT_DIV_DEP,numeric,NULL
ACCT_LOC_DEP,numeric,NULL
ACCT_DEPT_DEP,numeric,NULL
ACCT_SUBID_FRT,numeric,NULL
ACCT_ID_FRT,numeric,NULL
ACCT_DIV_FRT,numeric,NULL
ACCT_LOC_FRT,numeric,NULL
ACCT_DEPT_FRT,numeric,NULL
ACCT_SUBID_TAX,numeric,NULL
ACCT_ID_TAX,numeric,NULL
ACCT_DIV_TAX,numeric,NULL
ACCT_LOC_TAX,numeric,NULL
ACCT_DEPT_TAX,numeric,NULL
AMT_DEP,numeric,NULL
AMT_DEP_FC,varchar,14
ID_DOC_APPLYTO,numeric,NULL
COST_TOTAL,numeric,NULL
COST_TOTAL_FC,varchar,14
FLAG_ACKN,numeric,NULL
FLAG_PICK,numeric,NULL
FLAG_INVC,numeric,NULL
FLAG_BOL,numeric,NULL
ID_ORD_LAST,numeric,NULL
ID_INVC_LAST,numeric,NULL
ID_SHIP_LAST,numeric,NULL
ID_PRO_BOL_LAST,varchar,30
DESCR_SHIP_VIA_LAST,varchar,15
ID_LOC_SHIPFM,char,5
ID_SESS_ORD,char,4
ID_USER_ORD,char,3
FLAG_PRNT_OPTION_PRICE,numeric,NULL
QTY_SHIP_OUTST,numeric,NULL
ID_TERR,char,3
FLAG_ASN_EDI,numeric,NULL
FLAG_INVC_EDI,numeric,NULL
ID_TP,varchar,12
ID_DIV_TP,varchar,17
ID_DEST_TP_BILLTO,varchar,17
CODE_SRC_EDI,numeric,NULL
ID_REL,varchar,30
ID_DEST_TP_SHIPTO,varchar,17
FLAG_810,numeric,NULL
ID_SHIP_BOL,varchar,9
ABBRV_CONSIG,char,5
CODE_DOCK,varchar,10
FLAG_CHK_AVAIL,numeric,NULL
CODE_CRNCY,numeric,NULL
RATE_EXCHG_CRNCY,numeric,NULL
ID_USER_MNT_ORD,char,3
SEQ_LINE_LAST,numeric,NULL
ATTACH_COMMENT,numeric,NULL
FLAG_TAX_SHIP,numeric,NULL
WGT_TOTAL,numeric,NULL
SUFX_DOC_APPLYTO,numeric,NULL
AMT_FEE_RESTOCK,numeric,NULL
AMT_FEE_RESTOCK_FC,varchar,14
ACCT_SUBID_FEE_RESTOCK,numeric,NULL
ACCT_ID_FEE_RESTOCK,numeric,NULL
ACCT_DIV_FEE_RESTOCK,numeric,NULL
ACCT_LOC_FEE_RESTOCK,numeric,NULL
ACCT_DEPT_FEE_RESTOCK,numeric,NULL
CODE_TAX_GEO,varchar,9
CODE_TAX_PROD_FRT,varchar,25
CODE_TAX_PROD_MSC,varchar,25
CODE_TAX_PROD_RSTK,varchar,25
AMT_FRT,numeric,NULL
TAX_SLS,numeric,NULL
TAX_SLS_FC,varchar,14
ADDR_1_TAX,varchar,50
ADDR_2_TAX,varchar,50
ADDR_3_TAX,varchar,50
CITY_TAX,varchar,50
REGION_TAX,char,2
COUNTRY_TAX,varchar,50
CODE_POSTAL_TAX,varchar,11
CODE_TAX_ENTITY,varchar,25
FLAG_PAID_BY_CC,numeric,NULL
CSTM_ALPHA_30_1,varchar,30
CSTM_ALPHA_30_2,varchar,30
CSTM_ALPHA_30_3,varchar,30
CSTM_ALPHA_90_1,varchar,90
CSTM_ALPHA_90_2,varchar,90
CSTM_ALPHA_90_3,varchar,90
CSTM_DATE_1,datetime,NULL
CSTM_DATE_2,datetime,NULL
CSTM_DATE_3,datetime,NULL
CSTM_NUM_1,numeric,NULL
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
ID_ORD_WEB,varchar,30
AMT_CHRG_MISC,numeric,NULL
AMT_CHRG_MISC_FC,varchar,14
AMT_FRT_FC,varchar,14
rowid,int,NULL
rowversion,timestamp,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
