column_name,data_type,character_maximum_length
ID_ORD,numeric,NULL
ATTACH_COMMENT_FILE,numeric,NULL
ID_SHIP,numeric,NULL
SEQ_LINE_ORD,numeric,NULL
SEQ_REC_1,numeric,NULL
CODE_COMMENT,numeric,NULL
SEQ_COMMENT,numeric,NULL
ID_INVC,numeric,NULL
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
TIME_ADD,numeric,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
TIME_CHG,numeric,NULL
NOTE,varchar,60
FLAG_PRNT_ACKN,numeric,NULL
FLAG_PRNT_PICK,numeric,NULL
FLAG_PRNT_BOL,numeric,NULL
FLAG_PRNT_INVC,numeric,NULL
FLAG_COPY_REVW_SF,numeric,NULL
FLAG_PRNT_CARAS,numeric,NULL
FLAG_PRNT_FORM_2,numeric,NULL
FLAG_PRNT_FORM_3,numeric,NULL
FLAG_PRNT_PACK,numeric,NULL
FLAG_COMMENT_ID_SERIAL,numeric,NULL
TYPE_REC_EDI,numeric,NULL
CODE_QLFR,char,3
REF,varchar,30
FLAG_COMMENT_CALC,numeric,NULL
FLAG_PRNT_PO,numeric,NULL
rowid,int,NULL
rowversion,timestamp,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
