column_name,data_type,character_maximum_length
ID_ORD,numeric,NULL
SEQ_LINE_ORD,numeric,NULL
ID_ITEM,varchar,30
ID_LOC,char,5
ID_LOT,varchar,20
DATE_ADD,datetime,NULL
TIME_ADD,numeric,NULL
ID_USER_ADD,char,3
DATE_CHG,datetime,NULL
TIME_CHG,numeric,NULL
ID_USER_CHG,char,3
ID_ITEM_CUST,varchar,30
ID_ITEM_PRECONFIG,varchar,30
ID_PRDTLINE,varchar,15
ID_CONFIG,varchar,30
DESCR_1,varchar,30
DESCR_2,varchar,30
CODE_UM_ORD,char,2
FLAG_PRIOR_LINE_ORD,numeric,NULL
CODE_ACT_INV,numeric,NULL
CODE_CAT_PRDT,char,2
CODE_USER_1_IM,char,2
CODE_USER_2_IM,char,4
BIN_PRIM,varchar,20
WGT_ITEM,numeric,NULL
WGT_ITEM_ORIG,numeric,NULL
QTY_CARTON,numeric,NULL
FLAG_TAX_SHIP,numeric,NULL
FLAG_STK,char,1
FLAG_CNTRL,char,1
QTY_OPEN,numeric,NULL
QTY_BO,numeric,NULL
QTY_NET_CHG,numeric,NULL
QTY_ORG,numeric,NULL
QTY_BOOK,numeric,NULL
QTY_OPEN_DISPLAY,numeric,NULL
QTY_BO_DISPLAY,numeric,NULL
QTY_REL,numeric,NULL
QTY_OPEN_ADJ,numeric,NULL
QTY_BO_ADJ,numeric,NULL
QTY_SHIP_TOTAL_ADJ,numeric,NULL
QTY_SHIP_LAST,numeric,NULL
QTY_SHIP_TOTAL,numeric,NULL
COST_UNIT_VP,varchar,16
COST_UNIT_VP_FC,varchar,16
PRICE_LIST_VP,varchar,16
PRICE_LIST_VP_FC,varchar,16
PRICE_SELL_VP,varchar,16
PRICE_SELL_VP_FC,varchar,16
PRICE_SELL_NET_VP,varchar,16
PRICE_SELL_NET_VP_FC,varchar,16
PRICE_NET,numeric,NULL
PRICE_NET_FC,varchar,14
AMT_COMMSN,numeric,NULL
AMT_COMMSN_FC,varchar,14
PCT_COMMSN_LINE,numeric,NULL
CODE_COMMSN_DSPLY,char,1
FLAG_MTHD_PRICE,char,1
PCT_DISC_MARKUP_1_VP,varchar,14
PCT_DISC_MARKUP_2_VP,varchar,14
PCT_DISC_MARKUP_3_VP,varchar,14
DATE_RQST,datetime,NULL
DATE_PROM,datetime,NULL
DATE_BOOK_LAST,datetime,NULL
DATE_CHG_LAST,datetime,NULL
DATE_REL,datetime,NULL
DATE_ACKN_LAST,datetime,NULL
DATE_PICK_LAST,datetime,NULL
DATE_BOL_LAST,datetime,NULL
DATE_SHIP_LAST,datetime,NULL
DATE_INVC_LAST,datetime,NULL
ID_INVC_LAST,numeric,NULL
DESCR_SHIP_VIA_LAST,varchar,15
ID_SHIP_LAST,numeric,NULL
ID_PRO_BOL_LAST,varchar,30
VER_BO,numeric,NULL
FLAG_ACKN,numeric,NULL
FLAG_PICK,numeric,NULL
ID_PICK_SESS,char,4
FLAG_INVC,numeric,NULL
FLAG_BOL,numeric,NULL
FLAG_TRACK_BIN,numeric,NULL
FLAG_BM_CAPTURE,numeric,NULL
FLAG_COPY_REVW_SF,numeric,NULL
PRICE_OPTION_TOTAL_VP,varchar,16
PRICE_OPTION_TOTAL_VP_FC,varchar,16
FLAG_DISC_OPTION,char,1
COST_OPTION_TOTAL_VP,varchar,16
COST_OPTION_TOTAL_VP_FC,varchar,16
WGT_OPTION_TOTAL,numeric,NULL
ID_LOC_SO,char,5
ID_SO,varchar,9
SUFX_SO,numeric,NULL
RATIO_STK_PRICE,numeric,NULL
CODE_UM_PRICE,char,2
RATIO_PRICE_SELL,numeric,NULL
DATE_CUTOFF_ALLOC,datetime,NULL
FLAG_SCHD_SHIP,numeric,NULL
CODE_FRT,char,4
WGT_SHIP_TOTAL,numeric,NULL
FLAG_POST,numeric,NULL
QTY_CARTON_PER,numeric,NULL
QTY_ALLOC,numeric,NULL
FLAG_CUM_MNT,numeric,NULL
YR_MODEL,varchar,10
ID_LINE_PO_EDI,char,6
ID_PO_CUST_CARAS,varchar,22
FLAG_OPTION_ATPIC,numeric,NULL
FLAG_BO,char,1
PCT_CMPL_ATPIC,numeric,NULL
RATE_EXCHG_CRNCY,numeric,NULL
CODE_CAT_COST,char,2
REL_830,varchar,10
YR_MODEL_ALT,char,1
CLASS_DEST,char,5
REF,varchar,20
CODE_CONT,varchar,8
QTY_CONT_PER,numeric,NULL
QTY_CONT_1,numeric,NULL
QTY_CONT_LAST,numeric,NULL
QTY_CONT_2,numeric,NULL
ID_QUOTE,varchar,9
SEQ_REV_QUOTE,numeric,NULL
ID_EST,varchar,9
SEQ_JOB,char,4
ATTACH_COMMENT,numeric,NULL
ORG_ITEM,numeric,NULL
FLAG_LINE_SHIP_FROM,numeric,NULL
CODE_FEE_RESTOCK,numeric,NULL
CALC_FEE_RESTOCK_VP,varchar,16
AMT_FEE_RESTOCK,numeric,NULL
AMT_FEE_RESTOCK_FC,varchar,14
ID_PO,numeric,NULL
