Table,Current Master Field,Needed Master Field,Rename Needed?,Belongs in Open Orders?,Notes / Join comments
Product Master,Cost_Cost_Type,Cost_Cost_Type,,Yes,
Product Master,Cost_Freight_Current,Cost_Freight_Current,,Yes,
Product Master,Cost_Freight_Standard,Cost_Freight_Standard,,Yes,
Product Master,Cost_Labor_Current,Cost_Labor_Current,,Yes,
Product Master,Cost_Labor_Standard,Cost_Labor_Standard,,Yes,
Product Master,Cost_Labor_Current_Calculated,Cost_Labor_Current_Calculated,,Yes,
Product Master,Cost_Location_Standard_Cost_Source_Location,Cost_Location_Standard_Cost_Source_Location,,Yes,
Product Master,Cost_Material_Accumulated_Current,Cost_Material_Accumulated_Current,,Yes,
Product Master,Cost_Material_Accumulated_Standard,Cost_Material_Accumulated_Standard,,Yes,
Product Master,Cost_Material_Current,Cost_Material_Current,,Yes,
Product Master,Cost_Material_Current_Calculated,Cost_Material_Current_Calculated,,Yes,
Product Master,Cost_Material_Standard,Cost_Material_Standard,,Yes,
Product Master,Cost_Outside Service_Current,Cost_Outside Service_Current,,Yes,
Product Master,Cost_Outside Service_Standard,Cost_Outside Service_Standard,,Yes,
Product Master,Cost_Total_Current,Cost_Total_Current,,Yes,
Product Master,Cost_Total_Standard,Cost_Total_Standard,,Yes,
Product Master,Cost_User_Field_Current,Cost_User_Field_Current,,Yes,
Product Master,Cost_User_Field_Standard,Cost_User_Field_Standard,,Yes,
Product Master,Cost_Variable_Burden_Current,Cost_Variable_Burden_Current,,Yes,
Product Master,Cost_Variable_Burden_Standard,Cost_Variable_Burden_Standard,,Yes,
Product Master,Date_Cost_Accumulated,Date_Cost_Accumulated,,Yes,
Product Master,Date_Cost_Changed,Date_Cost_Changed,,Yes,
Product Master,Date_Cost_Standard,Date_Cost_Standard,,Yes,
Product Master,Date_Last_Vendor_Quote,Date_Last_Vendor_Quote,,Yes,
Product Master,Item_Advertised_Flag,Item_Advertised_Flag,,Yes,
Product Master,Item_ALT_Key,Item_ALT_Key,,Yes,
Product Master,Item_Berry,Item_Berry,,Yes,
Product Master,Item_Bin_Tracking,Item_Bin_Tracking,,Yes,
Product Master,Item_Brand,Item_Brand,,Yes,
Product Master,Item_Care,Item_Care,,Yes,
Product Master,Item_Certificate_Number,Item_Certificate_Number,,Yes,
Product Master,Item_Class,Item_Class,,Yes,
Product Master,Item_Color,Item_Color,,Yes,
Product Master,Commodity_Code,Item_Commodity_Code,Yes,Yes,
Product Master,Item_Commodity_Code_Prior,Item_Commodity_Code_Prior,,Yes,
Product Master,Cost_Cat_Descr,Item_Cost_Category,Yes,Yes,
Product Master,Item_Cost_Category_ID,Item_Cost_Category_ID,,Yes,
Product Master,Item_Description_Child_SKU,Item_Description_Child_SKU,,Yes,
Product Master,Item_Description_Parent_SKU,Item_Description_Parent_SKU,,Yes,
Product Master,Item_Gender,Item_Gender,,Yes,
Product Master,Item_Heat_Transfer,Item_Heat_Transfer,,Yes,
Product Master,Item_ID_Child_SKU,Item_ID_Child_SKU,,Yes,join key to bring in attributes - remove after join
Product Master,Item_ID_Parent_SKU,Item_ID_Parent_SKU,,Yes,
Product Master,Item_Length,Item_Length,,Yes,
Product Master,Item_Other,Item_Other,,Yes,
Product Master,Item_Pad_Print,Item_Pad_Print,,Yes,
Product Master,Item_PFAS,Item_PFAS,,Yes,
Product Master,Item_PPC,Item_PPC,,Yes,
Product Master,Item_Location_ID,Item_Primary_Location,Yes,Yes,Not coming through with any values in the field - also needs to represent the PRIMARY location ID
Product Master,Item_Primary_Vendor_Vendor_Item_ID,Item_Primary_Vendor_Vendor_Item_ID,,Yes,
Product Master,Item_Primary_Vendor_Primary_Order_From_ID,Item_Primary_Vendor_Primary_Order_From_ID,,Yes,
Product Master,Item_Primary_Vendor_Primary_Pay_To_ID,Item_Primary_Vendor_Primary_Pay_To_ID,,Yes,
