column_name,data_type,character_maximum_length
ID_LOC,char,5
ID_SO,varchar,9
SUFX_SO,numeric,NULL
ID_OPER,numeric,NULL
ID_ITEM_COMP,varchar,30
TYPE_REC,numeric,NULL
SEQ,numeric,NULL
KEY_1,varchar,35
KEY_2,varchar,53
KEY_3,varchar,10
KEY_4,varchar,53
STAT_REC_SO,char,1
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
CODE_USER_1,char,2
CODE_USER_2,char,4
CODE_USER_3,varchar,10
ID_JOB,varchar,9
SEQ_JOB,char,4
REF,varchar,20
PCT_SPLIT_JOB,numeric,NULL
CODE_CAT_COST,char,2
FLAG_POST_JOB,char,1
DATE_NEED,datetime,NULL
DATE_PROM,datetime,NULL
ID_CUST,char,6
ID_ORD,numeric,NULL
SEQ_LINE_ORD,numeric,NULL
rowid,int,NULL
rowversion,timestamp,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
