column_name,data_type,character_maximum_length
ID_LOC,char,5
ID_SO,varchar,9
SUFX_SO,numeric,NULL
ID_OPER,numeric,NULL
ID_ITEM_COMP,varchar,30
TYPE_REC,numeric,NULL
SEQ,numeric,NULL
ID_ITEM_COMP_1,varchar,30
ID_LOC_1,char,5
KEY_2,varchar,53
KEY_3,varchar,10
TYPE_REC_1,numeric,NULL
ID_LOC_2,char,5
ID_SO_1,varchar,9
SUFX_SO_1,numeric,NULL
ID_OPER_1,numeric,NULL
FLAG_STAT_MATL,numeric,NULL
DATE_NEED_COMP,numeric,NULL
TIME_ISS,numeric,NULL
STAT_REC_MATL,char,1
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
CODE_USER_1,char,2
CODE_USER_2,char,4
CODE_USER_3,varchar,10
DESCR_ITEM_1,varchar,30
DESCR_ITEM_2,varchar,30
DATE_NEED,datetime,NULL
QTY_PER,numeric,NULL
CODE_UM,char,2
FCTR_SCRAP,numeric,NULL
ID_BUYER,char,2
REF,varchar,8
FLAG_STK,char,1
FLAG_CNTRL,char,1
ID_BIN,varchar,20
FLAG_ITEM_SUBST,char,1
QTY_ISS,numeric,NULL
TYPE_COST,char,2
CODE_CAT_COST,char,2
ID_ITEM_SUBST,varchar,30
QTY_ALLOC,numeric,NULL
FLAG_MFG_PUR,char,1
CODE_UM_PUR,char,2
RATIO_PUR_SELL,numeric,NULL
COMMENT_USER,varchar,20
DATE_AVAIL_MATL,datetime,NULL
SRC_MATL,varchar,12
ID_PROJ,varchar,12
FLAG_ISS_AUTO_SF,char,1
DATE_ISS,datetime,NULL
ID_LOC_ISS,char,5
KEY_BIN_1,varchar,20
KEY_BIN_2,varchar,20
KEY_BIN_3,varchar,20
ID_DRAW,varchar,20
ID_REV_DRAW,char,5
DESCR_REV_DRAW,varchar,30
ID_ITEM_PAR_1,varchar,30
ID_ITEM_PAR_2,varchar,30
ID_ITEM_PAR_3,varchar,30
ID_ITEM_PAR_4,varchar,30
ID_ITEM_PAR_5,varchar,30
ID_ITEM_PAR_6,varchar,30
ID_ITEM_PAR_7,varchar,30
ID_EST,varchar,9
FLAG_ADD_ON,numeric,NULL
rowid,int,NULL
rowversion,timestamp,NULL
ID_NC,varchar,10
CSTM_ALPHA_30_1,varchar,30
CSTM_ALPHA_30_2,varchar,30
CSTM_ALPHA_30_3,varchar,30
CSTM_ALPHA_90_1,varchar,90
CSTM_ALPHA_90_2,varchar,90
CSTM_ALPHA_90_3,varchar,90
CSTM_DATE_1,datetime,NULL
CSTM_DATE_2,datetime,NULL
CSTM_DATE_3,datetime,NULL
CSTM_NUM_1,numeric,NULL
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
