column_name,data_type,character_maximum_length
ID_LOC,char,5
ID_SO,varchar,9
SUFX_SO,numeric,NULL
ID_OPER,numeric,NULL
ID_ITEM_COMP,varchar,30
TYPE_REC,numeric,NULL
SEQ,numeric,NULL
ID_ITEM_PAR,varchar,30
ID_LOC_1,char,5
ID_LOC_2,char,5
ID_DEPT,char,4
ID_WC,char,4
KYFILLER_1,varchar,8
STAT_REC_OPER,char,1
DATE_DUE_ORD,datetime,NULL
TIME_DUE_ORD,numeric,NULL
CODE_PRIOR,numeric,NULL
DATE_START_ORD,datetime,NULL
TIME_START_ORD,numeric,NULL
CODE_USER,varchar,10
TYPE_REC_1,numeric,NULL
ID_ITEM_PAR_1,varchar,30
ID_LOC_3,char,5
FLAG_CMPL_SO,numeric,NULL
DATE_ORD,numeric,NULL
TIME_ORD,numeric,NULL
KYFILLER_2,char,1
STAT_REC_SO,char,1
ID_USER_ADD,char,3
DATE_ADD,datetime,NULL
ID_USER_CHG,char,3
DATE_CHG,datetime,NULL
CODE_USER_1,char,2
CODE_USER_2,char,4
CODE_USER_3,varchar,10
ID_BUYER,char,2
DATE_CHG_LAST,datetime,NULL
QTY_ORD,numeric,NULL
QTY_CMPL,numeric,NULL
QTY_CMPL_EDIT,numeric,NULL
QTY_CMPL_UEDT,numeric,NULL
CODE_UM,char,2
HR_ACCUM_STD,numeric,NULL
HR_ACCUM_ACTUAL,numeric,NULL
HR_ACCUM_ACTUAL_EDIT,numeric,NULL
HR_ACCUM_ACTUAL_UEDT,numeric,NULL
TYPE_ORD,char,1
REF_ORD,varchar,8
DESCR_ITEM_1,varchar,30
DESCR_ITEM_2,varchar,30
ID_DRAW,varchar,20
ID_REV_DRAW,char,5
DATE_CHG_DRAW,datetime,NULL
SIZE_DRAW,char,5
FLAG_STK,char,1
FLAG_CNTRL,char,1
DATE_CMPL,datetime,NULL
FLAG_MTHD_SCHD,char,1
FLAG_ALLOC,numeric,NULL
FLAG_REL,numeric,NULL
FLAG_MOVE,char,1
FLAG_POST_JC,numeric,NULL
QTY_ONORD,numeric,NULL
FLAG_SCHD_SO,char,1
ID_PROJ,varchar,12
DATE_START_PLAN,datetime,NULL
DATE_DUE_PLAN,datetime,NULL
DATE_START_OPER_1ST,datetime,NULL
TIME_START_OPER_1ST,numeric,NULL
DATE_END_OPER_LAST,datetime,NULL
TIME_END_OPER_LAST,numeric,NULL
SUFX_SO_LAST,numeric,NULL
FLAG_CNTPNT_AUTO,numeric,NULL
DATE_CHG_SCHD,datetime,NULL
FLAG_COPY_BM_SO,numeric,NULL
FLAG_COPY_RTE,numeric,NULL
FLAG_TYPE_RPT_SF,char,1
FLAG_MTHD_SCHD_NEXT,char,1
QTY_DISTRIB,numeric,NULL
SUFX_SO_SPLIT,numeric,NULL
ID_LOC_RCV,char,5
KEY_BIN_1,varchar,20
KEY_BIN_2,varchar,20
KEY_BIN_3,varchar,20
FLAG_ITEM_OPTION,numeric,NULL
ID_PRDTLINE,varchar,15
DESCR_REV_DRAW,varchar,30
FLAG_STAT_ARCHIVE,char,1
CODE_PRIOR_SCHD,numeric,NULL
FLAG_RESLOT_SO,numeric,NULL
RESERVED_DEV,numeric,NULL
DATE_MAIL,datetime,NULL
CODE_CAT_COST,char,2
FLAG_EM_SO,char,1
ID_EST,varchar,9
FLAG_EXPEDITED_SO,numeric,NULL
ID_CONFIG,varchar,30
rowid,int,NULL
rowversion,timestamp,NULL
ID_NC,varchar,10
CSTM_ALPHA_30_1,varchar,30
CSTM_ALPHA_30_2,varchar,30
CSTM_ALPHA_30_3,varchar,30
CSTM_ALPHA_90_1,varchar,90
CSTM_ALPHA_90_2,varchar,90
CSTM_ALPHA_90_3,varchar,90
CSTM_DATE_1,datetime,NULL
CSTM_DATE_2,datetime,NULL
CSTM_DATE_3,datetime,NULL
CSTM_NUM_1,numeric,NULL
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
rowchecksum,int,NULL
keychecksum,int,NULL
