"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","Sample_Values","Value_Composition"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_VND","TEXT(6)","6",,,"3930",0,"10263, 10275, 10687, 631104, 836851",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_VND_ORDFM","TEXT(6)","6",,,"4056",0,"10263, 10275, 631104, 836851, 841",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","TYPE_REC","NUMBER(2,0)",,"20","20","1",0,"20","20 (4209, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","SEQ_REC","NUMBER(4,0)",,"0","0","1",0,"0","0 (4209, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","TYPE_REC_1","NUMBER(2,0)",,"20","20","1",0,"20","20 (4209, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","NAME_VND_SORT","TEXT(15)","15",,,"3828",0.05,"BIMAC CORPORPOR, LEDFORD GAGE LA, MW FENCE CO LLC, PEARL TRIM & TE, TECH DEPOT",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","COUNTRY","TEXT(30)","30",,,"43",14.04,"KOREA, MEXICO, TAIWAN, THE NETHERLANDS, UK",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","PROV","TEXT(30)","30",,,"23",98.43,"LANCASHIRE, NORFOLK, Norfolk, ONTARIO, VICTORIA",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_ST","TEXT(2)","2",,,"52",9.93,"FL, NJ, TX, VT, WV",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CITY","TEXT(15)","15",,,"1555",8.01,"ANDALUSIA, CHATSWOOD, Cuddy, MADISON HEIGHTS, RALEIGH",
