"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","Sample_Values","Value_Composition"
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ID_VND","TEXT(6)","6",,,"3941",0,"10263, 10275, 10687, 631104, 836851",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ID_VND_ORDFM","TEXT(6)","6",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","TYPE_REC","NUMBER(2,0)",,"10","10","1",0,"10","10 (3941, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","SEQ_REC","NUMBER(4,0)",,"0","0","1",0,"0","0 (3941, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","TYPE_REC_1","NUMBER(2,0)",,"10","10","1",0,"10","10 (3941, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","NAME_VND_SORT","TEXT(15)","15",,,"3732",0.03,"BIMAC CORPORPOR, LEDFORD GAGE LA, MW FENCE CO LLC, PEARL TRIM & TE, TECH DEPOT",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","COUNTRY","TEXT(30)","30",,,"35",3.7,"CN, TAIWAN, THE NETHERLANDS, TW, UK",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","PROV","TEXT(30)","30",,,"20",98.43,"B.C., LANCASHIRE, ONTARIO, VIC, VICTORIA",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ID_ST","TEXT(2)","2",,,"53",8.65,"FL, NJ, TX, VT, WV",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","CITY","TEXT(15)","15",,,"1401",6.62,"ANDALUSIA, CHATSWOOD, LOVELAND, MADISON HEIGHTS, RALEIGH",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ZIP","TEXT(10)","10",,,"2498",7.66,"29730, 30144, 60677-3004, 64870, 84134-0180",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ID_USER_ADD","TEXT(3)","3",,,"55",0,"ARB, CNV, JP2, SA3, TI2",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","DATE_ADD","TIMESTAMP_NTZ(9)",,"1993-10-26 00:00:00.000","2026-04-28 00:00:00.000","2077",0,"2019-06-11 00:00:00.000, 2020-03-16 00:00:00.000, 2025-03-27 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ID_USER_CHG","TEXT(3)","3",,,"56",27.25,"ACW, DE1, JMU, JP2, NT1",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","DATE_CHG","TIMESTAMP_NTZ(9)",,"2010-10-01 00:00:00.000","2026-04-28 00:00:00.000","1200",27.25,"2019-06-11 00:00:00.000, 2019-11-06 00:00:00.000, 2020-03-16 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","CODE_USER_1_AP","TEXT(2)","2",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","CODE_USER_2_AP","TEXT(4)","4",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","CODE_USER_3_AP","TEXT(10)","10",,,"13",99.62,"012093, 06/04/91, 080891, 092493, 110292",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","NAME_VND","TEXT(30)","30",,,"3832",0.03,"MARKET MATCH MEDIA INC, MW FENCE CO LLC, TECH DEPOT, TECHFLEX BRAIDED SLEEVING PROD, THE TARGET HUMAN RESOURCE CO",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ADDR_VND_1","TEXT(30)","30",,,"3467",6.95,"101 EAST WALNUT STREET, 812 HURON ROAD, SUITE 319, FURNITURE, LLC, SUITE 1300 SERVICES INC, dba TENCATE PROTECTIVE FABRICS",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ADDR_VND_2","TEXT(30)","30",,,"3071",10.71,"69 MILK STREET, SUITE 304, CHICAGO, IL 60680-1042, DEPT CH 19882, DES MOINES  IA 50392, SUITE #300",
"BRONZE_DATA","TCM_BRONZE","VENMAS_PAYTO_Bronze","ADDR_VND_3","TEXT(30)","30",,,"1070",70.21,"2401 ONTARIO STREET, ATTN : KELLY DEADY, FOREST HILLS  NY 11375, FORSYTH  GA 31029, LIVING TRUST DATED",
